Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,3922
Anjou,1209
Baie-D'Urfé,44
Beaconsfield,145
Côte-des-Neiges–Notre-Dame-de-Grâce,4361
Côte-Saint-Luc,1202
Dollard-des-Ormeaux,917
Dorval,350
Hampstead,152
Kirkland,270
Lachine,1157
LaSalle,2267
L'Île-Bizard–Sainte-Geneviève,319
Mercier–Hochelaga-Maisonneuve,3807
Montréal-Est,83
Montréal-Nord,3950
Montréal-Ouest,59
Mont-Royal,564
Outremont,624
Pierrefonds–Roxboro,1204
Plateau-Mont-Royal,1904
Pointe-Claire,356
Rivière-des-Prairies–Pointe-aux-Trembles,3471
Rosemont–La Petite Patrie,3081
Sainte-Anne-de-Bellevue,41
Saint-Laurent,2539
Saint-Léonard,2275
Senneville,8
Sud-Ouest,1766
Verdun,1473
Ville-Marie,2046
Villeray–Saint-Michel–Parc-Extension,4186
Westmount,325
Territoire à confirmer,1079
Total à Montréal,51156
