Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,10356
Anjou,3495
Baie-D'Urfé,95
Beaconsfield,471
Côte-des-Neiges–Notre-Dame-de-Grâce,11792
Côte-Saint-Luc,2800
Dollard-des-Ormeaux,2789
Dorval,800
Hampstead,386
Kirkland,759
Lachine,2934
LaSalle,5611
L'Île-Bizard–Sainte-Geneviève,1061
Mercier–Hochelaga-Maisonneuve,8657
Montréal-Est,269
Montréal-Nord,8970
Montréal-Ouest,185
Mont-Royal,1112
Outremont,1260
Pierrefonds–Roxboro,4197
Plateau-Mont-Royal,4668
Pointe-Claire,1068
Rivière-des-Prairies–Pointe-aux-Trembles,8877
Rosemont–La Petite Patrie,6997
Sainte-Anne-de-Bellevue,138
Saint-Laurent,8265
Saint-Léonard,7705
Senneville,23
Sud-Ouest,3892
Verdun,3123
Ville-Marie,4810
Villeray–Saint-Michel–Parc-Extension,11015
Westmount,730
Territoire à confirmer,1898
Total à Montréal,131208
