Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,8531
Anjou,2855
Baie-D'Urfé,67
Beaconsfield,364
Côte-des-Neiges–Notre-Dame-de-Grâce,9508
Côte-Saint-Luc,2232
Dollard-des-Ormeaux,2155
Dorval,655
Hampstead,319
Kirkland,533
Lachine,2478
LaSalle,4480
L'Île-Bizard–Sainte-Geneviève,855
Mercier–Hochelaga-Maisonneuve,7240
Montréal-Est,220
Montréal-Nord,7854
Montréal-Ouest,125
Mont-Royal,932
Outremont,1071
Pierrefonds–Roxboro,3244
Plateau-Mont-Royal,3740
Pointe-Claire,851
Rivière-des-Prairies–Pointe-aux-Trembles,7626
Rosemont–La Petite Patrie,5927
Sainte-Anne-de-Bellevue,115
Saint-Laurent,6251
Saint-Léonard,6489
Senneville,22
Sud-Ouest,3171
Verdun,2591
Ville-Marie,3930
Villeray–Saint-Michel–Parc-Extension,9021
Westmount,614
Territoire à confirmer,1684
Total à Montréal,107750
