Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,1695
Anjou,494
Baie-D'Urfé,15
Beaconsfield,50
Côte-des-Neiges–Notre-Dame-de-Grâce,1659
Côte-Saint-Luc,412
Dollard-des-Ormeaux,318
Dorval,152
Hampstead,48
Kirkland,89
Lachine,438
LaSalle,964
L'Île-Bizard–Sainte-Geneviève,156
Mercier–Hochelaga-Maisonneuve,1645
Montréal-Est,27
Montréal-Nord,1894
Montréal-Ouest,18
Mont-Royal,230
Outremont,225
Pierrefonds–Roxboro,400
Plateau-Mont-Royal,732
Pointe-Claire,153
Rivière-des-Prairies–Pointe-aux-Trembles,1606
Rosemont–La Petite Patrie,1158
Sainte-Anne-de-Bellevue,16
Saint-Laurent,749
Saint-Léonard,816
Senneville,<5
Sud-Ouest,734
Verdun,786
Ville-Marie,558
Villeray–Saint-Michel–Parc-Extension,1470
Westmount,151
Territoire à confirmer,774
Total à Montréal,20633
