Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,4011
Anjou,1240
Baie-D'Urfé,44
Beaconsfield,150
Côte-des-Neiges–Notre-Dame-de-Grâce,4472
Côte-Saint-Luc,1226
Dollard-des-Ormeaux,940
Dorval,358
Hampstead,155
Kirkland,278
Lachine,1187
LaSalle,2314
L'Île-Bizard–Sainte-Geneviève,328
Mercier–Hochelaga-Maisonneuve,3852
Montréal-Est,86
Montréal-Nord,4004
Montréal-Ouest,60
Mont-Royal,567
Outremont,631
Pierrefonds–Roxboro,1244
Plateau-Mont-Royal,1931
Pointe-Claire,374
Rivière-des-Prairies–Pointe-aux-Trembles,3559
Rosemont–La Petite Patrie,3146
Sainte-Anne-de-Bellevue,50
Saint-Laurent,2591
Saint-Léonard,2366
Senneville,9
Sud-Ouest,1790
Verdun,1488
Ville-Marie,2077
Villeray–Saint-Michel–Parc-Extension,4269
Westmount,345
Territoire à confirmer,1079
Total à Montréal,52221
