Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,10087
Anjou,3416
Baie-D'Urfé,91
Beaconsfield,450
Côte-des-Neiges–Notre-Dame-de-Grâce,11501
Côte-Saint-Luc,2709
Dollard-des-Ormeaux,2704
Dorval,790
Hampstead,378
Kirkland,720
Lachine,2892
LaSalle,5408
L'Île-Bizard–Sainte-Geneviève,1045
Mercier–Hochelaga-Maisonneuve,8460
Montréal-Est,266
Montréal-Nord,8791
Montréal-Ouest,169
Mont-Royal,1105
Outremont,1247
Pierrefonds–Roxboro,4073
Plateau-Mont-Royal,4511
Pointe-Claire,1060
Rivière-des-Prairies–Pointe-aux-Trembles,8734
Rosemont–La Petite Patrie,6851
Sainte-Anne-de-Bellevue,135
Saint-Laurent,7989
Saint-Léonard,7556
Senneville,23
Sud-Ouest,3732
Verdun,3061
Ville-Marie,4596
Villeray–Saint-Michel–Parc-Extension,10650
Westmount,711
Territoire à confirmer,1870
Total à Montréal,127781
