Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,2762
Anjou,843
Baie-D'Urfé,32
Beaconsfield,74
Côte-des-Neiges–Notre-Dame-de-Grâce,2692
Côte-Saint-Luc,648
Dollard-des-Ormeaux,541
Dorval,219
Hampstead,79
Kirkland,151
Lachine,755
LaSalle,1404
L'Île-Bizard–Sainte-Geneviève,244
Mercier–Hochelaga-Maisonneuve,2761
Montréal-Est,53
Montréal-Nord,2942
Montréal-Ouest,36
Mont-Royal,316
Outremont,449
Pierrefonds–Roxboro,659
Plateau-Mont-Royal,1375
Pointe-Claire,251
Rivière-des-Prairies–Pointe-aux-Trembles,2491
Rosemont–La Petite Patrie,2019
Sainte-Anne-de-Bellevue,20
Saint-Laurent,1380
Saint-Léonard,1437
Senneville,<5
Sud-Ouest,1205
Verdun,1110
Ville-Marie,1379
Villeray–Saint-Michel–Parc-Extension,2728
Westmount,231
Territoire à confirmer,767
Total à Montréal,34055
