Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,973
Anjou,256
Baie-D'Urfé,6
Beaconsfield,24
Côte-des-Neiges–Notre-Dame-de-Grâce,1071
Côte-Saint-Luc,330
Dollard-des-Ormeaux,128
Dorval,77
Hampstead,38
Kirkland,26
Lachine,149
LaSalle,478
L'Île-Bizard–Sainte-Geneviève,53
Mercier–Hochelaga-Maisonneuve,791
Montréal-Est,14
Montréal-Nord,1058
Montréal-Ouest,9
Mont-Royal,92
Outremont,182
Pierrefonds–Roxboro,154
Plateau-Mont-Royal,465
Pointe-Claire,62
Rivière-des-Prairies–Pointe-aux-Trembles,817
Rosemont–La Petite Patrie,600
Sainte-Anne-de-Bellevue,8
Saint-Laurent,415
Saint-Léonard,480
Senneville,<5
Sud-Ouest,491
Verdun,523
Ville-Marie,313
Villeray–Saint-Michel–Parc-Extension,837
Westmount,91
Territoire à confirmer,609
Total à Montréal,11621
