Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,2356
Anjou,706
Baie-D'Urfé,31
Beaconsfield,61
Côte-des-Neiges–Notre-Dame-de-Grâce,2198
Côte-Saint-Luc,520
Dollard-des-Ormeaux,419
Dorval,193
Hampstead,54
Kirkland,117
Lachine,636
LaSalle,1213
L'Île-Bizard–Sainte-Geneviève,211
Mercier–Hochelaga-Maisonneuve,2309
Montréal-Est,44
Montréal-Nord,2569
Montréal-Ouest,20
Mont-Royal,282
Outremont,272
Pierrefonds–Roxboro,544
Plateau-Mont-Royal,898
Pointe-Claire,221
Rivière-des-Prairies–Pointe-aux-Trembles,2173
Rosemont–La Petite Patrie,1577
Sainte-Anne-de-Bellevue,18
Saint-Laurent,1084
Saint-Léonard,1114
Senneville,<5
Sud-Ouest,912
Verdun,957
Ville-Marie,819
Villeray–Saint-Michel–Parc-Extension,2187
Westmount,186
Territoire à confirmer,626
Total à Montréal,27529
