Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,8712
Anjou,2963
Baie-D'Urfé,67
Beaconsfield,370
Côte-des-Neiges–Notre-Dame-de-Grâce,9832
Côte-Saint-Luc,2301
Dollard-des-Ormeaux,2235
Dorval,671
Hampstead,326
Kirkland,552
Lachine,2516
LaSalle,4549
L'Île-Bizard–Sainte-Geneviève,870
Mercier–Hochelaga-Maisonneuve,7360
Montréal-Est,223
Montréal-Nord,7956
Montréal-Ouest,127
Mont-Royal,952
Outremont,1094
Pierrefonds–Roxboro,3335
Plateau-Mont-Royal,3800
Pointe-Claire,879
Rivière-des-Prairies–Pointe-aux-Trembles,7763
Rosemont–La Petite Patrie,6026
Sainte-Anne-de-Bellevue,118
Saint-Laurent,6458
Saint-Léonard,6607
Senneville,22
Sud-Ouest,3221
Verdun,2645
Ville-Marie,3982
Villeray–Saint-Michel–Parc-Extension,9184
Westmount,619
Territoire à confirmer,1718
Total à Montréal,110053
