Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,3219
Anjou,1000
Baie-D'Urfé,36
Beaconsfield,104
Côte-des-Neiges–Notre-Dame-de-Grâce,3507
Côte-Saint-Luc,891
Dollard-des-Ormeaux,701
Dorval,310
Hampstead,117
Kirkland,199
Lachine,860
LaSalle,1666
L'Île-Bizard–Sainte-Geneviève,280
Mercier–Hochelaga-Maisonneuve,3252
Montréal-Est,63
Montréal-Nord,3440
Montréal-Ouest,42
Mont-Royal,457
Outremont,559
Pierrefonds–Roxboro,900
Plateau-Mont-Royal,1656
Pointe-Claire,282
Rivière-des-Prairies–Pointe-aux-Trembles,2896
Rosemont–La Petite Patrie,2468
Sainte-Anne-de-Bellevue,25
Saint-Laurent,1858
Saint-Léonard,1771
Senneville,<5
Sud-Ouest,1452
Verdun,1293
Ville-Marie,1764
Villeray–Saint-Michel–Parc-Extension,3371
Westmount,270
Territoire à confirmer,936
Total à Montréal,41649
