Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,8850
Anjou,3033
Baie-D'Urfé,67
Beaconsfield,381
Côte-des-Neiges–Notre-Dame-de-Grâce,10095
Côte-Saint-Luc,2376
Dollard-des-Ormeaux,2267
Dorval,677
Hampstead,336
Kirkland,566
Lachine,2553
LaSalle,4624
L'Île-Bizard–Sainte-Geneviève,875
Mercier–Hochelaga-Maisonneuve,7517
Montréal-Est,233
Montréal-Nord,8102
Montréal-Ouest,131
Mont-Royal,976
Outremont,1120
Pierrefonds–Roxboro,3444
Plateau-Mont-Royal,3886
Pointe-Claire,894
Rivière-des-Prairies–Pointe-aux-Trembles,7892
Rosemont–La Petite Patrie,6107
Sainte-Anne-de-Bellevue,118
Saint-Laurent,6601
Saint-Léonard,6705
Senneville,22
Sud-Ouest,3268
Verdun,2715
Ville-Marie,4044
Villeray–Saint-Michel–Parc-Extension,9327
Westmount,625
Territoire à confirmer,1719
Total à Montréal,112146
