Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,2285
Anjou,686
Baie-D'Urfé,32
Beaconsfield,59
Côte-des-Neiges–Notre-Dame-de-Grâce,2167
Côte-Saint-Luc,513
Dollard-des-Ormeaux,414
Dorval,184
Hampstead,53
Kirkland,113
Lachine,624
LaSalle,1178
L'Île-Bizard–Sainte-Geneviève,212
Mercier–Hochelaga-Maisonneuve,2249
Montréal-Est,44
Montréal-Nord,2511
Montréal-Ouest,20
Mont-Royal,276
Outremont,265
Pierrefonds–Roxboro,534
Plateau-Mont-Royal,877
Pointe-Claire,221
Rivière-des-Prairies–Pointe-aux-Trembles,2132
Rosemont–La Petite Patrie,1539
Sainte-Anne-de-Bellevue,18
Saint-Laurent,1054
Saint-Léonard,1090
Senneville,<5
Sud-Ouest,901
Verdun,938
Ville-Marie,768
Villeray–Saint-Michel–Parc-Extension,2106
Westmount,182
Territoire à confirmer,626
Total à Montréal,26873
