Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,2385
Anjou,709
Baie-D'Urfé,31
Beaconsfield,62
Côte-des-Neiges–Notre-Dame-de-Grâce,2240
Côte-Saint-Luc,522
Dollard-des-Ormeaux,426
Dorval,196
Hampstead,55
Kirkland,120
Lachine,644
LaSalle,1240
L'Île-Bizard–Sainte-Geneviève,214
Mercier–Hochelaga-Maisonneuve,2361
Montréal-Est,44
Montréal-Nord,2587
Montréal-Ouest,21
Mont-Royal,285
Outremont,272
Pierrefonds–Roxboro,553
Plateau-Mont-Royal,967
Pointe-Claire,224
Rivière-des-Prairies–Pointe-aux-Trembles,2191
Rosemont–La Petite Patrie,1650
Sainte-Anne-de-Bellevue,18
Saint-Laurent,1099
Saint-Léonard,1134
Senneville,<5
Sud-Ouest,954
Verdun,980
Ville-Marie,930
Villeray–Saint-Michel–Parc-Extension,2227
Westmount,190
Territoire à confirmer,634
Total à Montréal,28167
