Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,2611
Anjou,787
Baie-D'Urfé,31
Beaconsfield,70
Côte-des-Neiges–Notre-Dame-de-Grâce,2523
Côte-Saint-Luc,592
Dollard-des-Ormeaux,499
Dorval,208
Hampstead,72
Kirkland,144
Lachine,728
LaSalle,1350
L'Île-Bizard–Sainte-Geneviève,229
Mercier–Hochelaga-Maisonneuve,2615
Montréal-Est,49
Montréal-Nord,2783
Montréal-Ouest,34
Mont-Royal,304
Outremont,364
Pierrefonds–Roxboro,610
Plateau-Mont-Royal,1227
Pointe-Claire,248
Rivière-des-Prairies–Pointe-aux-Trembles,2366
Rosemont–La Petite Patrie,1896
Sainte-Anne-de-Bellevue,20
Saint-Laurent,1269
Saint-Léonard,1317
Senneville,<5
Sud-Ouest,1121
Verdun,1073
Ville-Marie,1214
Villeray–Saint-Michel–Parc-Extension,2547
Westmount,215
Territoire à confirmer,698
Total à Montréal,31816
