Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,1502
Anjou,409
Baie-D'Urfé,11
Beaconsfield,45
Côte-des-Neiges–Notre-Dame-de-Grâce,1512
Côte-Saint-Luc,393
Dollard-des-Ormeaux,274
Dorval,141
Hampstead,42
Kirkland,77
Lachine,386
LaSalle,902
L'Île-Bizard–Sainte-Geneviève,125
Mercier–Hochelaga-Maisonneuve,1402
Montréal-Est,24
Montréal-Nord,1676
Montréal-Ouest,15
Mont-Royal,207
Outremont,217
Pierrefonds–Roxboro,337
Plateau-Mont-Royal,657
Pointe-Claire,142
Rivière-des-Prairies–Pointe-aux-Trembles,1361
Rosemont–La Petite Patrie,1016
Sainte-Anne-de-Bellevue,15
Saint-Laurent,654
Saint-Léonard,716
Senneville,<5
Sud-Ouest,708
Verdun,746
Ville-Marie,495
Villeray–Saint-Michel–Parc-Extension,1307
Westmount,143
Territoire à confirmer,777
Total à Montréal,18435
