Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,9142
Anjou,3123
Baie-D'Urfé,74
Beaconsfield,395
Côte-des-Neiges–Notre-Dame-de-Grâce,10462
Côte-Saint-Luc,2455
Dollard-des-Ormeaux,2349
Dorval,697
Hampstead,354
Kirkland,605
Lachine,2621
LaSalle,4783
L'Île-Bizard–Sainte-Geneviève,902
Mercier–Hochelaga-Maisonneuve,7790
Montréal-Est,241
Montréal-Nord,8285
Montréal-Ouest,147
Mont-Royal,1004
Outremont,1155
Pierrefonds–Roxboro,3580
Plateau-Mont-Royal,3980
Pointe-Claire,929
Rivière-des-Prairies–Pointe-aux-Trembles,8081
Rosemont–La Petite Patrie,6294
Sainte-Anne-de-Bellevue,122
Saint-Laurent,6904
Saint-Léonard,6931
Senneville,22
Sud-Ouest,3348
Verdun,2839
Ville-Marie,4152
Villeray–Saint-Michel–Parc-Extension,9632
Westmount,657
Territoire à confirmer,1752
Total à Montréal,115807
