Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,2913
Anjou,902
Baie-D'Urfé,33
Beaconsfield,87
Côte-des-Neiges–Notre-Dame-de-Grâce,2937
Côte-Saint-Luc,732
Dollard-des-Ormeaux,585
Dorval,233
Hampstead,95
Kirkland,169
Lachine,788
LaSalle,1473
L'Île-Bizard–Sainte-Geneviève,253
Mercier–Hochelaga-Maisonneuve,2922
Montréal-Est,59
Montréal-Nord,3114
Montréal-Ouest,38
Mont-Royal,334
Outremont,507
Pierrefonds–Roxboro,756
Plateau-Mont-Royal,1550
Pointe-Claire,267
Rivière-des-Prairies–Pointe-aux-Trembles,2662
Rosemont–La Petite Patrie,2161
Sainte-Anne-de-Bellevue,23
Saint-Laurent,1548
Saint-Léonard,1547
Senneville,<5
Sud-Ouest,1322
Verdun,1187
Ville-Marie,1584
Villeray–Saint-Michel–Parc-Extension,2953
Westmount,245
Territoire à confirmer,860
Total à Montréal,36842
