Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,3620
Anjou,1128
Baie-D'Urfé,43
Beaconsfield,128
Côte-des-Neiges–Notre-Dame-de-Grâce,4051
Côte-Saint-Luc,1136
Dollard-des-Ormeaux,856
Dorval,323
Hampstead,141
Kirkland,230
Lachine,1079
LaSalle,2097
L'Île-Bizard–Sainte-Geneviève,294
Mercier–Hochelaga-Maisonneuve,3639
Montréal-Est,81
Montréal-Nord,3776
Montréal-Ouest,56
Mont-Royal,529
Outremont,605
Pierrefonds–Roxboro,1055
Plateau-Mont-Royal,1821
Pointe-Claire,323
Rivière-des-Prairies–Pointe-aux-Trembles,3316
Rosemont–La Petite Patrie,2872
Sainte-Anne-de-Bellevue,27
Saint-Laurent,2285
Saint-Léonard,2071
Senneville,8
Sud-Ouest,1668
Verdun,1424
Ville-Marie,1967
Villeray–Saint-Michel–Parc-Extension,3927
Westmount,300
Territoire à confirmer,1033
Total à Montréal,47909
