Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,2356
Anjou,706
Baie-D'Urfé,31
Beaconsfield,61
Côte-des-Neiges–Notre-Dame-de-Grâce,2197
Côte-Saint-Luc,520
Dollard-des-Ormeaux,419
Dorval,193
Hampstead,54
Kirkland,117
Lachine,635
LaSalle,1209
L'Île-Bizard–Sainte-Geneviève,211
Mercier–Hochelaga-Maisonneuve,2303
Montréal-Est,44
Montréal-Nord,2566
Montréal-Ouest,20
Mont-Royal,282
Outremont,272
Pierrefonds–Roxboro,544
Plateau-Mont-Royal,895
Pointe-Claire,221
Rivière-des-Prairies–Pointe-aux-Trembles,2171
Rosemont–La Petite Patrie,1574
Sainte-Anne-de-Bellevue,18
Saint-Laurent,1084
Saint-Léonard,1113
Senneville,<5
Sud-Ouest,909
Verdun,957
Ville-Marie,818
Villeray–Saint-Michel–Parc-Extension,2184
Westmount,185
Territoire à confirmer,626
Total à Montréal,27497
