Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,3944
Anjou,1217
Baie-D'Urfé,44
Beaconsfield,146
Côte-des-Neiges–Notre-Dame-de-Grâce,4401
Côte-Saint-Luc,1209
Dollard-des-Ormeaux,921
Dorval,350
Hampstead,154
Kirkland,273
Lachine,1164
LaSalle,2270
L'Île-Bizard–Sainte-Geneviève,320
Mercier–Hochelaga-Maisonneuve,3820
Montréal-Est,83
Montréal-Nord,3966
Montréal-Ouest,59
Mont-Royal,566
Outremont,627
Pierrefonds–Roxboro,1210
Plateau-Mont-Royal,1912
Pointe-Claire,359
Rivière-des-Prairies–Pointe-aux-Trembles,3506
Rosemont–La Petite Patrie,3105
Sainte-Anne-de-Bellevue,44
Saint-Laurent,2557
Saint-Léonard,2304
Senneville,8
Sud-Ouest,1768
Verdun,1477
Ville-Marie,2059
Villeray–Saint-Michel–Parc-Extension,4205
Westmount,329
Territoire à confirmer,1085
Total à Montréal,51462
