Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,9936
Anjou,3379
Baie-D'Urfé,88
Beaconsfield,443
Côte-des-Neiges–Notre-Dame-de-Grâce,11380
Côte-Saint-Luc,2671
Dollard-des-Ormeaux,2657
Dorval,779
Hampstead,378
Kirkland,698
Lachine,2861
LaSalle,5322
L'Île-Bizard–Sainte-Geneviève,1027
Mercier–Hochelaga-Maisonneuve,8400
Montréal-Est,264
Montréal-Nord,8660
Montréal-Ouest,167
Mont-Royal,1098
Outremont,1235
Pierrefonds–Roxboro,4023
Plateau-Mont-Royal,4442
Pointe-Claire,1026
Rivière-des-Prairies–Pointe-aux-Trembles,8655
Rosemont–La Petite Patrie,6794
Sainte-Anne-de-Bellevue,132
Saint-Laurent,7839
Saint-Léonard,7492
Senneville,22
Sud-Ouest,3654
Verdun,3030
Ville-Marie,4503
Villeray–Saint-Michel–Parc-Extension,10489
Westmount,695
Territoire à confirmer,1848
Total à Montréal,126087
