Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,802
Anjou,173
Baie-D'Urfé,5
Beaconsfield,17
Côte-des-Neiges–Notre-Dame-de-Grâce,955
Côte-Saint-Luc,321
Dollard-des-Ormeaux,108
Dorval,61
Hampstead,33
Kirkland,26
Lachine,120
LaSalle,406
L'Île-Bizard–Sainte-Geneviève,44
Mercier–Hochelaga-Maisonneuve,569
Montréal-Est,12
Montréal-Nord,785
Montréal-Ouest,7
Mont-Royal,76
Outremont,167
Pierrefonds–Roxboro,124
Plateau-Mont-Royal,386
Pointe-Claire,50
Rivière-des-Prairies–Pointe-aux-Trembles,577
Rosemont–La Petite Patrie,489
Sainte-Anne-de-Bellevue,7
Saint-Laurent,319
Saint-Léonard,372
Senneville,<5
Sud-Ouest,406
Verdun,462
Ville-Marie,287
Villeray–Saint-Michel–Parc-Extension,624
Westmount,74
Territoire à confirmer,990
Total à Montréal,9856
