Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,5750
Anjou,1849
Baie-D'Urfé,57
Beaconsfield,250
Côte-des-Neiges–Notre-Dame-de-Grâce,6522
Côte-Saint-Luc,1618
Dollard-des-Ormeaux,1463
Dorval,500
Hampstead,209
Kirkland,409
Lachine,1660
LaSalle,3173
L'Île-Bizard–Sainte-Geneviève,615
Mercier–Hochelaga-Maisonneuve,5118
Montréal-Est,144
Montréal-Nord,5657
Montréal-Ouest,87
Mont-Royal,724
Outremont,855
Pierrefonds–Roxboro,2198
Plateau-Mont-Royal,2660
Pointe-Claire,654
Rivière-des-Prairies–Pointe-aux-Trembles,5165
Rosemont–La Petite Patrie,4388
Sainte-Anne-de-Bellevue,83
Saint-Laurent,4006
Saint-Léonard,4115
Senneville,19
Sud-Ouest,2383
Verdun,1925
Ville-Marie,2838
Villeray–Saint-Michel–Parc-Extension,6197
Westmount,474
Territoire à confirmer,1425
Total à Montréal,75190
