Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,3593
Anjou,1119
Baie-D'Urfé,43
Beaconsfield,127
Côte-des-Neiges–Notre-Dame-de-Grâce,4032
Côte-Saint-Luc,1130
Dollard-des-Ormeaux,850
Dorval,323
Hampstead,134
Kirkland,228
Lachine,1072
LaSalle,2073
L'Île-Bizard–Sainte-Geneviève,295
Mercier–Hochelaga-Maisonneuve,3625
Montréal-Est,80
Montréal-Nord,3756
Montréal-Ouest,56
Mont-Royal,526
Outremont,601
Pierrefonds–Roxboro,1049
Plateau-Mont-Royal,1813
Pointe-Claire,323
Rivière-des-Prairies–Pointe-aux-Trembles,3283
Rosemont–La Petite Patrie,2859
Sainte-Anne-de-Bellevue,27
Saint-Laurent,2265
Saint-Léonard,2051
Senneville,8
Sud-Ouest,1658
Verdun,1416
Ville-Marie,1962
Villeray–Saint-Michel–Parc-Extension,3903
Westmount,298
Territoire à confirmer,1037
Total à Montréal,47615
