Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,4200
Anjou,1295
Baie-D'Urfé,45
Beaconsfield,158
Côte-des-Neiges–Notre-Dame-de-Grâce,4719
Côte-Saint-Luc,1266
Dollard-des-Ormeaux,973
Dorval,368
Hampstead,159
Kirkland,286
Lachine,1259
LaSalle,2433
L'Île-Bizard–Sainte-Geneviève,339
Mercier–Hochelaga-Maisonneuve,3988
Montréal-Est,90
Montréal-Nord,4211
Montréal-Ouest,63
Mont-Royal,598
Outremont,642
Pierrefonds–Roxboro,1338
Plateau-Mont-Royal,1977
Pointe-Claire,388
Rivière-des-Prairies–Pointe-aux-Trembles,3748
Rosemont–La Petite Patrie,3303
Sainte-Anne-de-Bellevue,56
Saint-Laurent,2739
Saint-Léonard,2615
Senneville,9
Sud-Ouest,1855
Verdun,1540
Ville-Marie,2139
Villeray–Saint-Michel–Parc-Extension,4494
Westmount,377
Territoire à confirmer,1112
Total à Montréal,54782
