Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,10437
Anjou,3517
Baie-D'Urfé,95
Beaconsfield,478
Côte-des-Neiges–Notre-Dame-de-Grâce,11858
Côte-Saint-Luc,2809
Dollard-des-Ormeaux,2802
Dorval,807
Hampstead,391
Kirkland,766
Lachine,2946
LaSalle,5646
L'Île-Bizard–Sainte-Geneviève,1063
Mercier–Hochelaga-Maisonneuve,8737
Montréal-Est,273
Montréal-Nord,9044
Montréal-Ouest,187
Mont-Royal,1118
Outremont,1265
Pierrefonds–Roxboro,4209
Plateau-Mont-Royal,4707
Pointe-Claire,1071
Rivière-des-Prairies–Pointe-aux-Trembles,8935
Rosemont–La Petite Patrie,7040
Sainte-Anne-de-Bellevue,141
Saint-Laurent,8309
Saint-Léonard,7748
Senneville,23
Sud-Ouest,3929
Verdun,3152
Ville-Marie,4856
Villeray–Saint-Michel–Parc-Extension,11145
Westmount,736
Territoire à confirmer,1915
Total à Montréal,132155
