Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,2787
Anjou,854
Baie-D'Urfé,32
Beaconsfield,75
Côte-des-Neiges–Notre-Dame-de-Grâce,2725
Côte-Saint-Luc,653
Dollard-des-Ormeaux,548
Dorval,220
Hampstead,81
Kirkland,153
Lachine,757
LaSalle,1414
L'Île-Bizard–Sainte-Geneviève,247
Mercier–Hochelaga-Maisonneuve,2777
Montréal-Est,54
Montréal-Nord,2968
Montréal-Ouest,37
Mont-Royal,317
Outremont,458
Pierrefonds–Roxboro,667
Plateau-Mont-Royal,1397
Pointe-Claire,252
Rivière-des-Prairies–Pointe-aux-Trembles,2520
Rosemont–La Petite Patrie,2036
Sainte-Anne-de-Bellevue,20
Saint-Laurent,1405
Saint-Léonard,1447
Senneville,<5
Sud-Ouest,1216
Verdun,1122
Ville-Marie,1401
Villeray–Saint-Michel–Parc-Extension,2758
Westmount,233
Territoire à confirmer,779
Total à Montréal,34412
