Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,9724
Anjou,3311
Baie-D'Urfé,82
Beaconsfield,425
Côte-des-Neiges–Notre-Dame-de-Grâce,11180
Côte-Saint-Luc,2632
Dollard-des-Ormeaux,2565
Dorval,766
Hampstead,366
Kirkland,667
Lachine,2817
LaSalle,5141
L'Île-Bizard–Sainte-Geneviève,1002
Mercier–Hochelaga-Maisonneuve,8281
Montréal-Est,260
Montréal-Nord,8500
Montréal-Ouest,166
Mont-Royal,1077
Outremont,1208
Pierrefonds–Roxboro,3869
Plateau-Mont-Royal,4258
Pointe-Claire,988
Rivière-des-Prairies–Pointe-aux-Trembles,8526
Rosemont–La Petite Patrie,6665
Sainte-Anne-de-Bellevue,131
Saint-Laurent,7533
Saint-Léonard,7344
Senneville,22
Sud-Ouest,3568
Verdun,2993
Ville-Marie,4411
Villeray–Saint-Michel–Parc-Extension,10218
Westmount,688
Territoire à confirmer,1825
Total à Montréal,123209
