Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,2362
Anjou,709
Baie-D'Urfé,31
Beaconsfield,62
Côte-des-Neiges–Notre-Dame-de-Grâce,2205
Côte-Saint-Luc,519
Dollard-des-Ormeaux,420
Dorval,193
Hampstead,55
Kirkland,117
Lachine,636
LaSalle,1225
L'Île-Bizard–Sainte-Geneviève,211
Mercier–Hochelaga-Maisonneuve,2319
Montréal-Est,44
Montréal-Nord,2572
Montréal-Ouest,20
Mont-Royal,283
Outremont,272
Pierrefonds–Roxboro,547
Plateau-Mont-Royal,904
Pointe-Claire,222
Rivière-des-Prairies–Pointe-aux-Trembles,2177
Rosemont–La Petite Patrie,1586
Sainte-Anne-de-Bellevue,18
Saint-Laurent,1088
Saint-Léonard,1117
Senneville,<5
Sud-Ouest,914
Verdun,961
Ville-Marie,825
Villeray–Saint-Michel–Parc-Extension,2194
Westmount,187
Territoire à confirmer,631
Total à Montréal,27628
