Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,2532
Anjou,746
Baie-D'Urfé,31
Beaconsfield,67
Côte-des-Neiges–Notre-Dame-de-Grâce,2418
Côte-Saint-Luc,560
Dollard-des-Ormeaux,477
Dorval,205
Hampstead,64
Kirkland,140
Lachine,713
LaSalle,1318
L'Île-Bizard–Sainte-Geneviève,225
Mercier–Hochelaga-Maisonneuve,2534
Montréal-Est,48
Montréal-Nord,2702
Montréal-Ouest,32
Mont-Royal,296
Outremont,300
Pierrefonds–Roxboro,593
Plateau-Mont-Royal,1124
Pointe-Claire,244
Rivière-des-Prairies–Pointe-aux-Trembles,2280
Rosemont–La Petite Patrie,1813
Sainte-Anne-de-Bellevue,20
Saint-Laurent,1202
Saint-Léonard,1238
Senneville,<5
Sud-Ouest,1084
Verdun,1053
Ville-Marie,1137
Villeray–Saint-Michel–Parc-Extension,2411
Westmount,204
Territoire à confirmer,662
Total à Montréal,30475
