Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,8083
Anjou,2696
Baie-D'Urfé,67
Beaconsfield,345
Côte-des-Neiges–Notre-Dame-de-Grâce,8902
Côte-Saint-Luc,2017
Dollard-des-Ormeaux,2040
Dorval,630
Hampstead,307
Kirkland,507
Lachine,2371
LaSalle,4221
L'Île-Bizard–Sainte-Geneviève,819
Mercier–Hochelaga-Maisonneuve,6889
Montréal-Est,212
Montréal-Nord,7437
Montréal-Ouest,121
Mont-Royal,897
Outremont,1014
Pierrefonds–Roxboro,3019
Plateau-Mont-Royal,3542
Pointe-Claire,802
Rivière-des-Prairies–Pointe-aux-Trembles,7196
Rosemont–La Petite Patrie,5675
Sainte-Anne-de-Bellevue,108
Saint-Laurent,5694
Saint-Léonard,6037
Senneville,21
Sud-Ouest,3070
Verdun,2449
Ville-Marie,3787
Villeray–Saint-Michel–Parc-Extension,8503
Westmount,593
Territoire à confirmer,1650
Total à Montréal,101721
