Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,9331
Anjou,3185
Baie-D'Urfé,76
Beaconsfield,407
Côte-des-Neiges–Notre-Dame-de-Grâce,10658
Côte-Saint-Luc,2534
Dollard-des-Ormeaux,2416
Dorval,722
Hampstead,356
Kirkland,626
Lachine,2706
LaSalle,4865
L'Île-Bizard–Sainte-Geneviève,933
Mercier–Hochelaga-Maisonneuve,7879
Montréal-Est,245
Montréal-Nord,8339
Montréal-Ouest,156
Mont-Royal,1036
Outremont,1168
Pierrefonds–Roxboro,3643
Plateau-Mont-Royal,4044
Pointe-Claire,947
Rivière-des-Prairies–Pointe-aux-Trembles,8201
Rosemont–La Petite Patrie,6384
Sainte-Anne-de-Bellevue,123
Saint-Laurent,7086
Saint-Léonard,7048
Senneville,22
Sud-Ouest,3399
Verdun,2895
Ville-Marie,4217
Villeray–Saint-Michel–Parc-Extension,9812
Westmount,664
Territoire à confirmer,1776
Total à Montréal,117899
