Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,1898
Anjou,562
Baie-D'Urfé,19
Beaconsfield,54
Côte-des-Neiges–Notre-Dame-de-Grâce,1851
Côte-Saint-Luc,461
Dollard-des-Ormeaux,342
Dorval,164
Hampstead,54
Kirkland,95
Lachine,483
LaSalle,1011
L'Île-Bizard–Sainte-Geneviève,177
Mercier–Hochelaga-Maisonneuve,1924
Montréal-Est,33
Montréal-Nord,2139
Montréal-Ouest,17
Mont-Royal,239
Outremont,237
Pierrefonds–Roxboro,461
Plateau-Mont-Royal,783
Pointe-Claire,182
Rivière-des-Prairies–Pointe-aux-Trembles,1811
Rosemont–La Petite Patrie,1308
Sainte-Anne-de-Bellevue,18
Saint-Laurent,875
Saint-Léonard,931
Senneville,<5
Sud-Ouest,794
Verdun,851
Ville-Marie,651
Villeray–Saint-Michel–Parc-Extension,1642
Westmount,163
Territoire à confirmer,833
Total à Montréal,23064
