Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,3724
Anjou,1166
Baie-D'Urfé,43
Beaconsfield,131
Côte-des-Neiges–Notre-Dame-de-Grâce,4166
Côte-Saint-Luc,1160
Dollard-des-Ormeaux,877
Dorval,328
Hampstead,148
Kirkland,248
Lachine,1110
LaSalle,2151
L'Île-Bizard–Sainte-Geneviève,300
Mercier–Hochelaga-Maisonneuve,3692
Montréal-Est,80
Montréal-Nord,3842
Montréal-Ouest,60
Mont-Royal,540
Outremont,612
Pierrefonds–Roxboro,1103
Plateau-Mont-Royal,1849
Pointe-Claire,327
Rivière-des-Prairies–Pointe-aux-Trembles,3360
Rosemont–La Petite Patrie,2952
Sainte-Anne-de-Bellevue,28
Saint-Laurent,2360
Saint-Léonard,2130
Senneville,8
Sud-Ouest,1699
Verdun,1439
Ville-Marie,1997
Villeray–Saint-Michel–Parc-Extension,4030
Westmount,312
Territoire à confirmer,1057
Total à Montréal,49029
