Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,1817
Anjou,537
Baie-D'Urfé,16
Beaconsfield,50
Côte-des-Neiges–Notre-Dame-de-Grâce,1787
Côte-Saint-Luc,437
Dollard-des-Ormeaux,339
Dorval,163
Hampstead,50
Kirkland,93
Lachine,465
LaSalle,996
L'Île-Bizard–Sainte-Geneviève,172
Mercier–Hochelaga-Maisonneuve,1825
Montréal-Est,32
Montréal-Nord,2028
Montréal-Ouest,17
Mont-Royal,232
Outremont,235
Pierrefonds–Roxboro,439
Plateau-Mont-Royal,765
Pointe-Claire,166
Rivière-des-Prairies–Pointe-aux-Trembles,1730
Rosemont–La Petite Patrie,1231
Sainte-Anne-de-Bellevue,18
Saint-Laurent,806
Saint-Léonard,876
Senneville,<5
Sud-Ouest,764
Verdun,826
Ville-Marie,611
Villeray–Saint-Michel–Parc-Extension,1549
Westmount,159
Territoire à confirmer,796
Total à Montréal,22028
