Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,3826
Anjou,1182
Baie-D'Urfé,43
Beaconsfield,138
Côte-des-Neiges–Notre-Dame-de-Grâce,4246
Côte-Saint-Luc,1185
Dollard-des-Ormeaux,885
Dorval,336
Hampstead,150
Kirkland,262
Lachine,1133
LaSalle,2207
L'Île-Bizard–Sainte-Geneviève,305
Mercier–Hochelaga-Maisonneuve,3734
Montréal-Est,80
Montréal-Nord,3895
Montréal-Ouest,59
Mont-Royal,548
Outremont,617
Pierrefonds–Roxboro,1130
Plateau-Mont-Royal,1874
Pointe-Claire,340
Rivière-des-Prairies–Pointe-aux-Trembles,3404
Rosemont–La Petite Patrie,3015
Sainte-Anne-de-Bellevue,32
Saint-Laurent,2428
Saint-Léonard,2186
Senneville,8
Sud-Ouest,1730
Verdun,1459
Ville-Marie,2018
Villeray–Saint-Michel–Parc-Extension,4073
Westmount,315
Territoire à confirmer,1047
Total à Montréal,49890
