Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,392
Anjou,92
Baie-D'Urfé,5
Beaconsfield,13
Côte-des-Neiges–Notre-Dame-de-Grâce,640
Côte-Saint-Luc,270
Dollard-des-Ormeaux,75
Dorval,41
Hampstead,29
Kirkland,18
Lachine,89
LaSalle,339
L'Île-Bizard–Sainte-Geneviève,27
Mercier–Hochelaga-Maisonneuve,330
Montréal-Est,7
Montréal-Nord,357
Montréal-Ouest,5
Mont-Royal,49
Outremont,148
Pierrefonds–Roxboro,90
Plateau-Mont-Royal,259
Pointe-Claire,37
Rivière-des-Prairies–Pointe-aux-Trembles,285
Rosemont–La Petite Patrie,336
Sainte-Anne-de-Bellevue,5
Saint-Laurent,200
Saint-Léonard,210
Senneville,<5
Sud-Ouest,268
Verdun,240
Ville-Marie,215
Villeray–Saint-Michel–Parc-Extension,367
Westmount,62
Territoire à confirmer,1126
Total à Montréal,6628
