Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,7828
Anjou,2580
Baie-D'Urfé,67
Beaconsfield,335
Côte-des-Neiges–Notre-Dame-de-Grâce,8612
Côte-Saint-Luc,1949
Dollard-des-Ormeaux,1986
Dorval,602
Hampstead,296
Kirkland,497
Lachine,2258
LaSalle,4117
L'Île-Bizard–Sainte-Geneviève,804
Mercier–Hochelaga-Maisonneuve,6679
Montréal-Est,205
Montréal-Nord,7235
Montréal-Ouest,120
Mont-Royal,870
Outremont,985
Pierrefonds–Roxboro,2936
Plateau-Mont-Royal,3391
Pointe-Claire,788
Rivière-des-Prairies–Pointe-aux-Trembles,6944
Rosemont–La Petite Patrie,5517
Sainte-Anne-de-Bellevue,106
Saint-Laurent,5454
Saint-Léonard,5732
Senneville,21
Sud-Ouest,2996
Verdun,2373
Ville-Marie,3706
Villeray–Saint-Michel–Parc-Extension,8185
Westmount,590
Territoire à confirmer,1624
Total à Montréal,98388
