Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,9852
Anjou,3359
Baie-D'Urfé,84
Beaconsfield,435
Côte-des-Neiges–Notre-Dame-de-Grâce,11296
Côte-Saint-Luc,2657
Dollard-des-Ormeaux,2614
Dorval,774
Hampstead,377
Kirkland,681
Lachine,2844
LaSalle,5255
L'Île-Bizard–Sainte-Geneviève,1021
Mercier–Hochelaga-Maisonneuve,8358
Montréal-Est,263
Montréal-Nord,8614
Montréal-Ouest,167
Mont-Royal,1092
Outremont,1223
Pierrefonds–Roxboro,3951
Plateau-Mont-Royal,4386
Pointe-Claire,1009
Rivière-des-Prairies–Pointe-aux-Trembles,8601
Rosemont–La Petite Patrie,6749
Sainte-Anne-de-Bellevue,132
Saint-Laurent,7738
Saint-Léonard,7437
Senneville,22
Sud-Ouest,3620
Verdun,3024
Ville-Marie,4466
Villeray–Saint-Michel–Parc-Extension,10367
Westmount,692
Territoire à confirmer,1839
Total à Montréal,124999
