Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,2388
Anjou,716
Baie-D'Urfé,31
Beaconsfield,62
Côte-des-Neiges–Notre-Dame-de-Grâce,2248
Côte-Saint-Luc,522
Dollard-des-Ormeaux,427
Dorval,199
Hampstead,55
Kirkland,120
Lachine,661
LaSalle,1247
L'Île-Bizard–Sainte-Geneviève,214
Mercier–Hochelaga-Maisonneuve,2377
Montréal-Est,44
Montréal-Nord,2592
Montréal-Ouest,21
Mont-Royal,285
Outremont,272
Pierrefonds–Roxboro,556
Plateau-Mont-Royal,986
Pointe-Claire,226
Rivière-des-Prairies–Pointe-aux-Trembles,2201
Rosemont–La Petite Patrie,1655
Sainte-Anne-de-Bellevue,18
Saint-Laurent,1104
Saint-Léonard,1140
Senneville,<5
Sud-Ouest,967
Verdun,982
Ville-Marie,950
Villeray–Saint-Michel–Parc-Extension,2243
Westmount,193
Territoire à confirmer,636
Total à Montréal,28340
