Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,1645
Anjou,455
Baie-D'Urfé,11
Beaconsfield,51
Côte-des-Neiges–Notre-Dame-de-Grâce,1616
Côte-Saint-Luc,405
Dollard-des-Ormeaux,290
Dorval,147
Hampstead,48
Kirkland,85
Lachine,417
LaSalle,946
L'Île-Bizard–Sainte-Geneviève,143
Mercier–Hochelaga-Maisonneuve,1552
Montréal-Est,27
Montréal-Nord,1820
Montréal-Ouest,16
Mont-Royal,226
Outremont,222
Pierrefonds–Roxboro,377
Plateau-Mont-Royal,710
Pointe-Claire,145
Rivière-des-Prairies–Pointe-aux-Trembles,1525
Rosemont–La Petite Patrie,1103
Sainte-Anne-de-Bellevue,16
Saint-Laurent,710
Saint-Léonard,783
Senneville,<5
Sud-Ouest,727
Verdun,768
Ville-Marie,539
Villeray–Saint-Michel–Parc-Extension,1411
Westmount,149
Territoire à confirmer,792
Total à Montréal,19878
