Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,2465
Anjou,729
Baie-D'Urfé,31
Beaconsfield,62
Côte-des-Neiges–Notre-Dame-de-Grâce,2340
Côte-Saint-Luc,541
Dollard-des-Ormeaux,445
Dorval,205
Hampstead,59
Kirkland,124
Lachine,694
LaSalle,1284
L'Île-Bizard–Sainte-Geneviève,224
Mercier–Hochelaga-Maisonneuve,2463
Montréal-Est,47
Montréal-Nord,2642
Montréal-Ouest,29
Mont-Royal,281
Outremont,279
Pierrefonds–Roxboro,577
Plateau-Mont-Royal,1063
Pointe-Claire,240
Rivière-des-Prairies–Pointe-aux-Trembles,2231
Rosemont–La Petite Patrie,1748
Sainte-Anne-de-Bellevue,18
Saint-Laurent,1150
Saint-Léonard,1179
Senneville,<5
Sud-Ouest,1021
Verdun,1018
Ville-Marie,1045
Villeray–Saint-Michel–Parc-Extension,2341
Westmount,196
Territoire à confirmer,678
Total à Montréal,29451
