Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,2566
Anjou,762
Baie-D'Urfé,31
Beaconsfield,70
Côte-des-Neiges–Notre-Dame-de-Grâce,2455
Côte-Saint-Luc,568
Dollard-des-Ormeaux,486
Dorval,205
Hampstead,66
Kirkland,140
Lachine,720
LaSalle,1327
L'Île-Bizard–Sainte-Geneviève,227
Mercier–Hochelaga-Maisonneuve,2564
Montréal-Est,49
Montréal-Nord,2727
Montréal-Ouest,33
Mont-Royal,298
Outremont,319
Pierrefonds–Roxboro,600
Plateau-Mont-Royal,1143
Pointe-Claire,244
Rivière-des-Prairies–Pointe-aux-Trembles,2318
Rosemont–La Petite Patrie,1848
Sainte-Anne-de-Bellevue,20
Saint-Laurent,1228
Saint-Léonard,1269
Senneville,<5
Sud-Ouest,1099
Verdun,1059
Ville-Marie,1171
Villeray–Saint-Michel–Parc-Extension,2456
Westmount,208
Territoire à confirmer,685
Total à Montréal,30963
