Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,3576
Anjou,1116
Baie-D'Urfé,43
Beaconsfield,126
Côte-des-Neiges–Notre-Dame-de-Grâce,4018
Côte-Saint-Luc,1125
Dollard-des-Ormeaux,850
Dorval,324
Hampstead,135
Kirkland,228
Lachine,1065
LaSalle,2060
L'Île-Bizard–Sainte-Geneviève,295
Mercier–Hochelaga-Maisonneuve,3620
Montréal-Est,80
Montréal-Nord,3747
Montréal-Ouest,56
Mont-Royal,519
Outremont,600
Pierrefonds–Roxboro,1045
Plateau-Mont-Royal,1809
Pointe-Claire,322
Rivière-des-Prairies–Pointe-aux-Trembles,3265
Rosemont–La Petite Patrie,2850
Sainte-Anne-de-Bellevue,27
Saint-Laurent,2243
Saint-Léonard,2041
Senneville,8
Sud-Ouest,1651
Verdun,1408
Ville-Marie,1953
Villeray–Saint-Michel–Parc-Extension,3884
Westmount,291
Territoire à confirmer,1035
Total à Montréal,47415
