Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,54
Anjou,9
Baie-D'Urfé,2
Beaconsfield,10
Côte-des-Neiges–Notre-Dame-de-Grâce,161
Côte-Saint-Luc,107
Dollard-des-Ormeaux,17
Dorval,7
Hampstead,18
Kirkland,7
Lachine,19
LaSalle,66
L'Île-Bizard–Sainte-Geneviève,5
Mercier–Hochelaga-Maisonneuve,40
Montréal-Est,1
Montréal-Nord,26
Montréal-Ouest,3
Mont-Royal,18
Outremont,56
Pierrefonds–Roxboro,26
Plateau-Mont-Royal,67
Pointe-Claire,11
Rivière-des-Prairies–Pointe-aux-Trembles,41
Rosemont–La Petite Patrie,80
Sainte-Anne-de-Bellevue,2
Saint-Laurent,40
Saint-Léonard,17
Senneville,0
Sud-Ouest,46
Verdun,36
Ville-Marie,67
Villeray–Saint-Michel–Parc-Extension,41
Westmount,25
Territoire à confirmer,487
Total à Montréal,1612
