Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,8494
Anjou,2847
Baie-D'Urfé,67
Beaconsfield,363
Côte-des-Neiges–Notre-Dame-de-Grâce,9449
Côte-Saint-Luc,2220
Dollard-des-Ormeaux,2150
Dorval,653
Hampstead,317
Kirkland,530
Lachine,2473
LaSalle,4470
L'Île-Bizard–Sainte-Geneviève,853
Mercier–Hochelaga-Maisonneuve,7230
Montréal-Est,220
Montréal-Nord,7838
Montréal-Ouest,123
Mont-Royal,931
Outremont,1070
Pierrefonds–Roxboro,3227
Plateau-Mont-Royal,3729
Pointe-Claire,845
Rivière-des-Prairies–Pointe-aux-Trembles,7609
Rosemont–La Petite Patrie,5916
Sainte-Anne-de-Bellevue,115
Saint-Laurent,6218
Saint-Léonard,6467
Senneville,22
Sud-Ouest,3163
Verdun,2579
Ville-Marie,3921
Villeray–Saint-Michel–Parc-Extension,9000
Westmount,611
Territoire à confirmer,1685
Total à Montréal,107405
