Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,2250
Anjou,678
Baie-D'Urfé,30
Beaconsfield,58
Côte-des-Neiges–Notre-Dame-de-Grâce,2150
Côte-Saint-Luc,512
Dollard-des-Ormeaux,409
Dorval,180
Hampstead,53
Kirkland,111
Lachine,603
LaSalle,1159
L'Île-Bizard–Sainte-Geneviève,206
Mercier–Hochelaga-Maisonneuve,2221
Montréal-Est,44
Montréal-Nord,2490
Montréal-Ouest,20
Mont-Royal,273
Outremont,262
Pierrefonds–Roxboro,528
Plateau-Mont-Royal,867
Pointe-Claire,222
Rivière-des-Prairies–Pointe-aux-Trembles,2097
Rosemont–La Petite Patrie,1519
Sainte-Anne-de-Bellevue,18
Saint-Laurent,1044
Saint-Léonard,1085
Senneville,<5
Sud-Ouest,892
Verdun,935
Ville-Marie,761
Villeray–Saint-Michel–Parc-Extension,2067
Westmount,182
Territoire à confirmer,629
Total à Montréal,26557
