Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,3059
Anjou,959
Baie-D'Urfé,35
Beaconsfield,98
Côte-des-Neiges–Notre-Dame-de-Grâce,3250
Côte-Saint-Luc,815
Dollard-des-Ormeaux,644
Dorval,246
Hampstead,120
Kirkland,187
Lachine,831
LaSalle,1554
L'Île-Bizard–Sainte-Geneviève,271
Mercier–Hochelaga-Maisonneuve,3073
Montréal-Est,62
Montréal-Nord,3276
Montréal-Ouest,43
Mont-Royal,365
Outremont,545
Pierrefonds–Roxboro,819
Plateau-Mont-Royal,1620
Pointe-Claire,289
Rivière-des-Prairies–Pointe-aux-Trembles,2799
Rosemont–La Petite Patrie,2317
Sainte-Anne-de-Bellevue,27
Saint-Laurent,1743
Saint-Léonard,1673
Senneville,<5
Sud-Ouest,1407
Verdun,1243
Ville-Marie,1676
Villeray–Saint-Michel–Parc-Extension,3192
Westmount,252
Territoire à confirmer,903
Total à Montréal,39396
