Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,9973
Anjou,3387
Baie-D'Urfé,88
Beaconsfield,444
Côte-des-Neiges–Notre-Dame-de-Grâce,11408
Côte-Saint-Luc,2685
Dollard-des-Ormeaux,2680
Dorval,781
Hampstead,378
Kirkland,702
Lachine,2874
LaSalle,5349
L'Île-Bizard–Sainte-Geneviève,1028
Mercier–Hochelaga-Maisonneuve,8419
Montréal-Est,265
Montréal-Nord,8687
Montréal-Ouest,167
Mont-Royal,1101
Outremont,1239
Pierrefonds–Roxboro,4033
Plateau-Mont-Royal,4463
Pointe-Claire,1043
Rivière-des-Prairies–Pointe-aux-Trembles,8667
Rosemont–La Petite Patrie,6808
Sainte-Anne-de-Bellevue,132
Saint-Laurent,7902
Saint-Léonard,7511
Senneville,22
Sud-Ouest,3670
Verdun,3033
Ville-Marie,4523
Villeray–Saint-Michel–Parc-Extension,10525
Westmount,695
Territoire à confirmer,1850
Total à Montréal,126532
