Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,1185
Anjou,324
Baie-D'Urfé,6
Beaconsfield,27
Côte-des-Neiges–Notre-Dame-de-Grâce,1225
Côte-Saint-Luc,354
Dollard-des-Ormeaux,184
Dorval,95
Hampstead,38
Kirkland,52
Lachine,186
LaSalle,561
L'Île-Bizard–Sainte-Geneviève,76
Mercier–Hochelaga-Maisonneuve,1014
Montréal-Est,18
Montréal-Nord,1316
Montréal-Ouest,11
Mont-Royal,125
Outremont,194
Pierrefonds–Roxboro,192
Plateau-Mont-Royal,566
Pointe-Claire,83
Rivière-des-Prairies–Pointe-aux-Trembles,1029
Rosemont–La Petite Patrie,777
Sainte-Anne-de-Bellevue,10
Saint-Laurent,518
Saint-Léonard,582
Senneville,<5
Sud-Ouest,563
Verdun,620
Ville-Marie,353
Villeray–Saint-Michel–Parc-Extension,998
Westmount,113
Territoire à confirmer,583
Total à Montréal,13979
