Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,10450
Anjou,3518
Baie-D'Urfé,95
Beaconsfield,481
Côte-des-Neiges–Notre-Dame-de-Grâce,11865
Côte-Saint-Luc,2810
Dollard-des-Ormeaux,2803
Dorval,807
Hampstead,391
Kirkland,766
Lachine,2948
LaSalle,5647
L'Île-Bizard–Sainte-Geneviève,1063
Mercier–Hochelaga-Maisonneuve,8744
Montréal-Est,273
Montréal-Nord,9051
Montréal-Ouest,187
Mont-Royal,1118
Outremont,1266
Pierrefonds–Roxboro,4215
Plateau-Mont-Royal,4709
Pointe-Claire,1071
Rivière-des-Prairies–Pointe-aux-Trembles,8941
Rosemont–La Petite Patrie,7043
Sainte-Anne-de-Bellevue,141
Saint-Laurent,8314
Saint-Léonard,7752
Senneville,23
Sud-Ouest,3931
Verdun,3154
Ville-Marie,4860
Villeray–Saint-Michel–Parc-Extension,11153
Westmount,737
Territoire à confirmer,1919
Total à Montréal,132246
