Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,10320
Anjou,3485
Baie-D'Urfé,95
Beaconsfield,464
Côte-des-Neiges–Notre-Dame-de-Grâce,11744
Côte-Saint-Luc,2792
Dollard-des-Ormeaux,2781
Dorval,799
Hampstead,386
Kirkland,752
Lachine,2920
LaSalle,5582
L'Île-Bizard–Sainte-Geneviève,1057
Mercier–Hochelaga-Maisonneuve,8635
Montréal-Est,269
Montréal-Nord,8927
Montréal-Ouest,185
Mont-Royal,1111
Outremont,1261
Pierrefonds–Roxboro,4184
Plateau-Mont-Royal,4645
Pointe-Claire,1068
Rivière-des-Prairies–Pointe-aux-Trembles,8863
Rosemont–La Petite Patrie,6982
Sainte-Anne-de-Bellevue,137
Saint-Laurent,8230
Saint-Léonard,7680
Senneville,23
Sud-Ouest,3867
Verdun,3109
Ville-Marie,4797
Villeray–Saint-Michel–Parc-Extension,10946
Westmount,725
Territoire à confirmer,1899
Total à Montréal,130720
