Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,3329
Anjou,1049
Baie-D'Urfé,37
Beaconsfield,122
Côte-des-Neiges–Notre-Dame-de-Grâce,3732
Côte-Saint-Luc,993
Dollard-des-Ormeaux,763
Dorval,320
Hampstead,120
Kirkland,213
Lachine,936
LaSalle,1805
L'Île-Bizard–Sainte-Geneviève,285
Mercier–Hochelaga-Maisonneuve,3369
Montréal-Est,67
Montréal-Nord,3542
Montréal-Ouest,47
Mont-Royal,473
Outremont,568
Pierrefonds–Roxboro,967
Plateau-Mont-Royal,1695
Pointe-Claire,300
Rivière-des-Prairies–Pointe-aux-Trembles,3024
Rosemont–La Petite Patrie,2628
Sainte-Anne-de-Bellevue,25
Saint-Laurent,1991
Saint-Léonard,1879
Senneville,7
Sud-Ouest,1524
Verdun,1333
Ville-Marie,1849
Villeray–Saint-Michel–Parc-Extension,3588
Westmount,281
Territoire à confirmer,976
Total à Montréal,43837
