Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,2196
Anjou,663
Baie-D'Urfé,29
Beaconsfield,58
Côte-des-Neiges–Notre-Dame-de-Grâce,2091
Côte-Saint-Luc,498
Dollard-des-Ormeaux,405
Dorval,176
Hampstead,53
Kirkland,104
Lachine,572
LaSalle,1112
L'Île-Bizard–Sainte-Geneviève,194
Mercier–Hochelaga-Maisonneuve,2180
Montréal-Est,41
Montréal-Nord,2430
Montréal-Ouest,20
Mont-Royal,257
Outremont,252
Pierrefonds–Roxboro,513
Plateau-Mont-Royal,851
Pointe-Claire,218
Rivière-des-Prairies–Pointe-aux-Trembles,2068
Rosemont–La Petite Patrie,1485
Sainte-Anne-de-Bellevue,18
Saint-Laurent,1020
Saint-Léonard,1070
Senneville,<5
Sud-Ouest,869
Verdun,912
Ville-Marie,739
Villeray–Saint-Michel–Parc-Extension,1992
Westmount,174
Territoire à confirmer,860
Total à Montréal,26122
