Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,2256
Anjou,678
Baie-D'Urfé,30
Beaconsfield,59
Côte-des-Neiges–Notre-Dame-de-Grâce,2154
Côte-Saint-Luc,513
Dollard-des-Ormeaux,410
Dorval,181
Hampstead,53
Kirkland,111
Lachine,604
LaSalle,1163
L'Île-Bizard–Sainte-Geneviève,206
Mercier–Hochelaga-Maisonneuve,2229
Montréal-Est,44
Montréal-Nord,2493
Montréal-Ouest,20
Mont-Royal,273
Outremont,262
Pierrefonds–Roxboro,530
Plateau-Mont-Royal,869
Pointe-Claire,222
Rivière-des-Prairies–Pointe-aux-Trembles,2105
Rosemont–La Petite Patrie,1521
Sainte-Anne-de-Bellevue,18
Saint-Laurent,1047
Saint-Léonard,1086
Senneville,<5
Sud-Ouest,893
Verdun,935
Ville-Marie,763
Villeray–Saint-Michel–Parc-Extension,2070
Westmount,182
Territoire à confirmer,631
Total à Montréal,26613
