Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,2513
Anjou,746
Baie-D'Urfé,31
Beaconsfield,65
Côte-des-Neiges–Notre-Dame-de-Grâce,2405
Côte-Saint-Luc,556
Dollard-des-Ormeaux,473
Dorval,205
Hampstead,62
Kirkland,140
Lachine,709
LaSalle,1314
L'Île-Bizard–Sainte-Geneviève,223
Mercier–Hochelaga-Maisonneuve,2514
Montréal-Est,48
Montréal-Nord,2687
Montréal-Ouest,32
Mont-Royal,297
Outremont,294
Pierrefonds–Roxboro,591
Plateau-Mont-Royal,1110
Pointe-Claire,243
Rivière-des-Prairies–Pointe-aux-Trembles,2271
Rosemont–La Petite Patrie,1799
Sainte-Anne-de-Bellevue,20
Saint-Laurent,1190
Saint-Léonard,1224
Senneville,<5
Sud-Ouest,1070
Verdun,1043
Ville-Marie,1113
Villeray–Saint-Michel–Parc-Extension,2394
Westmount,200
Territoire à confirmer,662
Total à Montréal,30246
