Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,7588
Anjou,2485
Baie-D'Urfé,67
Beaconsfield,328
Côte-des-Neiges–Notre-Dame-de-Grâce,8391
Côte-Saint-Luc,1920
Dollard-des-Ormeaux,1930
Dorval,586
Hampstead,293
Kirkland,488
Lachine,2182
LaSalle,4041
L'Île-Bizard–Sainte-Geneviève,799
Mercier–Hochelaga-Maisonneuve,6468
Montréal-Est,202
Montréal-Nord,7079
Montréal-Ouest,117
Mont-Royal,846
Outremont,975
Pierrefonds–Roxboro,2862
Plateau-Mont-Royal,3310
Pointe-Claire,777
Rivière-des-Prairies–Pointe-aux-Trembles,6745
Rosemont–La Petite Patrie,5414
Sainte-Anne-de-Bellevue,106
Saint-Laurent,5279
Saint-Léonard,5542
Senneville,21
Sud-Ouest,2960
Verdun,2330
Ville-Marie,3625
Villeray–Saint-Michel–Parc-Extension,7963
Westmount,582
Territoire à confirmer,1592
Total à Montréal,95893
