Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,4288
Anjou,1315
Baie-D'Urfé,45
Beaconsfield,163
Côte-des-Neiges–Notre-Dame-de-Grâce,4826
Côte-Saint-Luc,1280
Dollard-des-Ormeaux,1013
Dorval,377
Hampstead,162
Kirkland,291
Lachine,1288
LaSalle,2465
L'Île-Bizard–Sainte-Geneviève,351
Mercier–Hochelaga-Maisonneuve,4053
Montréal-Est,91
Montréal-Nord,4314
Montréal-Ouest,65
Mont-Royal,602
Outremont,646
Pierrefonds–Roxboro,1412
Plateau-Mont-Royal,1991
Pointe-Claire,405
Rivière-des-Prairies–Pointe-aux-Trembles,3822
Rosemont–La Petite Patrie,3366
Sainte-Anne-de-Bellevue,63
Saint-Laurent,2809
Saint-Léonard,2676
Senneville,11
Sud-Ouest,1878
Verdun,1567
Ville-Marie,2183
Villeray–Saint-Michel–Parc-Extension,4575
Westmount,384
Territoire à confirmer,1131
Total à Montréal,55908
