Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,417
Anjou,97
Baie-D'Urfé,5
Beaconsfield,13
Côte-des-Neiges–Notre-Dame-de-Grâce,671
Côte-Saint-Luc,279
Dollard-des-Ormeaux,76
Dorval,41
Hampstead,29
Kirkland,18
Lachine,93
LaSalle,349
L'Île-Bizard–Sainte-Geneviève,28
Mercier–Hochelaga-Maisonneuve,359
Montréal-Est,7
Montréal-Nord,404
Montréal-Ouest,5
Mont-Royal,51
Outremont,153
Pierrefonds–Roxboro,93
Plateau-Mont-Royal,275
Pointe-Claire,37
Rivière-des-Prairies–Pointe-aux-Trembles,313
Rosemont–La Petite Patrie,340
Sainte-Anne-de-Bellevue,5
Saint-Laurent,213
Saint-Léonard,224
Senneville,<5
Sud-Ouest,286
Verdun,276
Ville-Marie,225
Villeray–Saint-Michel–Parc-Extension,390
Westmount,63
Territoire à confirmer,993
Total à Montréal,6830
