Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,2514
Anjou,746
Baie-D'Urfé,31
Beaconsfield,65
Côte-des-Neiges–Notre-Dame-de-Grâce,2406
Côte-Saint-Luc,557
Dollard-des-Ormeaux,474
Dorval,205
Hampstead,63
Kirkland,140
Lachine,712
LaSalle,1318
L'Île-Bizard–Sainte-Geneviève,224
Mercier–Hochelaga-Maisonneuve,2518
Montréal-Est,48
Montréal-Nord,2687
Montréal-Ouest,32
Mont-Royal,296
Outremont,296
Pierrefonds–Roxboro,592
Plateau-Mont-Royal,1116
Pointe-Claire,244
Rivière-des-Prairies–Pointe-aux-Trembles,2273
Rosemont–La Petite Patrie,1799
Sainte-Anne-de-Bellevue,20
Saint-Laurent,1193
Saint-Léonard,1225
Senneville,<5
Sud-Ouest,1069
Verdun,1046
Ville-Marie,1116
Villeray–Saint-Michel–Parc-Extension,2396
Westmount,200
Territoire à confirmer,661
Total à Montréal,30284
