Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,2349
Anjou,701
Baie-D'Urfé,31
Beaconsfield,61
Côte-des-Neiges–Notre-Dame-de-Grâce,2187
Côte-Saint-Luc,519
Dollard-des-Ormeaux,419
Dorval,193
Hampstead,54
Kirkland,117
Lachine,632
LaSalle,1203
L'Île-Bizard–Sainte-Geneviève,211
Mercier–Hochelaga-Maisonneuve,2298
Montréal-Est,44
Montréal-Nord,2562
Montréal-Ouest,20
Mont-Royal,282
Outremont,270
Pierrefonds–Roxboro,542
Plateau-Mont-Royal,894
Pointe-Claire,220
Rivière-des-Prairies–Pointe-aux-Trembles,2163
Rosemont–La Petite Patrie,1567
Sainte-Anne-de-Bellevue,18
Saint-Laurent,1082
Saint-Léonard,1110
Senneville,<5
Sud-Ouest,909
Verdun,954
Ville-Marie,817
Villeray–Saint-Michel–Parc-Extension,2178
Westmount,185
Territoire à confirmer,667
Total à Montréal,27461
