Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,2346
Anjou,700
Baie-D'Urfé,31
Beaconsfield,60
Côte-des-Neiges–Notre-Dame-de-Grâce,2186
Côte-Saint-Luc,519
Dollard-des-Ormeaux,419
Dorval,192
Hampstead,53
Kirkland,116
Lachine,628
LaSalle,1198
L'Île-Bizard–Sainte-Geneviève,212
Mercier–Hochelaga-Maisonneuve,2276
Montréal-Est,44
Montréal-Nord,2557
Montréal-Ouest,20
Mont-Royal,279
Outremont,270
Pierrefonds–Roxboro,536
Plateau-Mont-Royal,890
Pointe-Claire,222
Rivière-des-Prairies–Pointe-aux-Trembles,2160
Rosemont–La Petite Patrie,1560
Sainte-Anne-de-Bellevue,18
Saint-Laurent,1078
Saint-Léonard,1104
Senneville,<5
Sud-Ouest,907
Verdun,951
Ville-Marie,812
Villeray–Saint-Michel–Parc-Extension,2166
Westmount,183
Territoire à confirmer,632
Total à Montréal,27327
