Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,3776
Anjou,1164
Baie-D'Urfé,43
Beaconsfield,131
Côte-des-Neiges–Notre-Dame-de-Grâce,4190
Côte-Saint-Luc,1168
Dollard-des-Ormeaux,876
Dorval,332
Hampstead,151
Kirkland,248
Lachine,1120
LaSalle,2168
L'Île-Bizard–Sainte-Geneviève,301
Mercier–Hochelaga-Maisonneuve,3695
Montréal-Est,79
Montréal-Nord,3859
Montréal-Ouest,59
Mont-Royal,540
Outremont,613
Pierrefonds–Roxboro,1103
Plateau-Mont-Royal,1859
Pointe-Claire,336
Rivière-des-Prairies–Pointe-aux-Trembles,3364
Rosemont–La Petite Patrie,2973
Sainte-Anne-de-Bellevue,31
Saint-Laurent,2374
Saint-Léonard,2141
Senneville,8
Sud-Ouest,1704
Verdun,1448
Ville-Marie,2001
Villeray–Saint-Michel–Parc-Extension,4039
Westmount,312
Territoire à confirmer,1042
Total à Montréal,49248
